Country Name,Country Code,Indicator Name,Indicator Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014
Poland,POL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.562188375,9.168734491,8.949779437,9.076635716,9.145109633,9.160462248,8.700242847,8.020147986,7.944691821,8.032557209,8.642128631,8.192760689,8.498915116,8.346045669,8.297268574,8.729748719,9.469550787,8.967638283,9.279801253,9.356434796,10.08342911,10.00972584,9.307374166,9.171423741,10.22597254,10.53942887,9.82702922,10.43091488,9.768880185,9.036485044,7.856266042,10.53507926,11.56044595,12.84650817,12.98107942,13.18573868,12.77178917,11.83879093,10.89499968,10.40849708,9.9417492,9.878166726,10.10533407,9.639421635,9.45984923,9.373773003,8.721479933,9.080315695,8.137159847,8.293354332,7.544131034,6.521659167,6.730525444,6.247332675,6.466550584
Pre-demographic dividend,PRE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,11.40415798,10.50726655,11.01323829,9.359064533,9.817924973,9.688544024,8.868898673,8.7185899,12.73478784,12.25556346,16.41430298,11.45170248,11.49261232,13.75115346,12.73532669,11.57746997,12.54177249,12.96415886,12.97835634,15.49750288,15.9831575,15.37251877,12.35402581,13.89042002,14.28366407,15.71843961,15.43330271,14.88922445,15.70999013,15.64352105,15.90060953,16.17333359,15.55862545,16.37415291,20.90518583,21.92901962,21.44185102,25.42614424,24.38565783,22.37548547,23.13726462,21.9373726,23.63878047,27.82247415
Puerto Rico,PRI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Dem. People's Rep.",PRK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,9.401076716,9.402035623,9.402895054,9.39793578,9.398907104,9.401483051,9.398766701,9.401197605,9.393792435,9.429245283,9.444444444,9.499105546,9.511769834,9.443027211,9.438247012,10,9.961685824,9.433691756,9.345890411,9.346570397,9.346007605,13.15789474,13.15837104,13.51515152,13.88695652,14.28638498,14.70984456,15.48235294,15.33333333,15.80412371,15.80693069,15.80703883,15.80626726,15.80576162,15.80394553,15.8056608,15.8063467,15.80693816,15.80915416,15.80963811,15.81192136,15.81409857,15.81387737,15.81327824
Portugal,PRT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.54071363,14.44261395,13.79132231,13.57570179,13.62787803,15.97341338,13.61763125,13.90850992,14.63336535,14.04609102,11.76391503,11.28419453,12.18325792,12.48978758,12.40992045,10.69993459,12.28349592,10.61343013,10.9048565,11.05802048,12.29777719,12.04427083,13.57687048,11.90937794,11.57593123,12.59968102,11.95454322,12.53544247,12.5691347,11.62080708,11.1565874,11.11410118,11.49107113,11.12616973,11.44443735,10.04706734,10.07932127,9.425172858,8.327550312,8.500722375,8.413262012,8.787471842,7.671412924,8.342468992,9.05034912,9.119251754,7.588109354,6.780962129,9.200659703,7.663392749,7.971540854,7.88236201,10.32780411,10.79471247,10.02521219
Paraguay,PRY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,11.91489362,11.15384615,6.084656085,10.3646833,11.12984823,11.09271523,14.01050788,11.79577465,10.41968162,5.736636245,10.11378003,19.51566952,19.57295374,9.090909091,4.573245292,1.511081263,1.548553608,1.50090054,8.10011096,0.305315431,0.037477428,0.158431893,1.511006489,1.499299778,1.576816535,0.173998394,2.315979868,2.72586129,2.820858187,2.669558065,3.210715625,3.237783125,3.637171389,4.240241859,4.62807333,4.945708761,5.060958585,5.253858359,5.696974108,6.231272889,5.957483731,6.38333195,5.783276196,6.578994971
West Bank and Gaza,PSE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific island small states,PSS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Post-demographic dividend,PST,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.392816173,9.163170678,8.891730707,8.727850624,8.605215766,8.660439192,8.718805371,8.42932409,8.330526123,7.957679149,8.016835902,7.834339707,7.960281336,7.789407185,7.490048329,7.966366236,7.955335005,7.673611055,7.769021651,7.549495355,7.669259567,6.936557558,7.266956898,7.458421558,6.661307821,6.883505151,6.484760078,5.880605639,5.751912512,7.902010682,7.547362852,6.548137342,6.589780689,6.860736903,6.695763986,6.747178828,6.802236226,6.24452689,6.413990752,6.239862557,6.355893633,5.832607503,6.492523445,6.122375357,6.396313464,6.3564288,6.24742718,6.126904993,6.017985422,6.270145462,6.075002268,6.088829788,6.186867402,6.099582424,6.026833989
French Polynesia,PYF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2372035,10.18793274,10.08154188,10.06542526,10.05794702,10.62749365,9.218698921,8.992583436,8.419870895,5.444416308,4.641940751,4.946187314,6.990418118,4.974048443,5.188875052,5.642903295,5.433727925,5.849329953,6.190885641,7.730923695,5.961977186,5.997961858,6.47623738,6.943150047,6.930151084,6.97417345,6.983546618,6.968031968,6.922088718,7.078355099,7.107728337,7.131846676,7.078090303,6.279493336,6.278425242,6.231695412,6.232213183,6.227645091,6.050346325
Romania,ROU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,7.360470421,7.375860402,7.47985207,8.660470425,7.555704473,7.551573817,6.8478733,6.144268928,6.043152172,5.965681771,5.549060424,5.587475697,5.428408767,5.429277073,5.367735108,5.449269986,5.469983936,5.702185285,6.110664329,9.219549363,10.32339841,10.1946674,10.14492754,9.186375508,11.36908177,11.71312143,11.54896059,12.05697622,12.59514889,12.76427774,12.64990903,12.21521878,8.657961552,10.74886281,10.23345059,10.49173007,10.94644334,11.06903134,12.17332571,11.64321417,11.51792771,12.01551707,11.99432828,10.88463544
Russian Federation,RUS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.786429263,7.857134164,8.338836829,9.177860881,9.766585398,9.71740087,9.981020273,10.12861659,11.284585,11.37615677,11.59665841,11.8616986,12.09654205,12.08570666,12.10779596,11.83682223,10.8253133,10.34686239,10.51971677,10.78658041,10.12753398,9.971690435,9.975283196,10.1167845,10.031412
Rwanda,RWA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
